id;played_at;duration_listened
1;2026-04-09T22:41:40;6515
2;2026-04-10T11:06:16;31186
3;2026-04-10T13:06:09;16039
4;2026-04-09T20:19:08;23882
5;2026-04-10T13:15:32;10767
6;2026-04-10T18:20:00;8320
7;2026-04-10T07:42:00;11816
8;2026-04-10T07:01:51;31662
9;2026-04-09T20:53:02;2609
10;2026-04-09T19:06:41;12005
11;2026-04-09T19:33:39;15525
12;2026-04-10T17:40:09;28548
13;2026-04-09T21:30:37;18482
14;2026-04-10T14:08:53;9358
15;2026-04-09T19:29:55;16967
16;2026-04-10T04:12:15;1869
17;2026-04-09T20:41:37;20238
18;2026-04-09T23:58:21;22953
19;2026-04-10T17:45:23;7109
20;2026-04-10T08:03:40;26130
21;2026-04-10T14:39:53;13203
22;2026-04-10T12:24:05;872
23;2026-04-10T13:21:16;19556
24;2026-04-10T10:50:03;6108
25;2026-04-09T23:50:50;6909
26;2026-04-09T20:44:18;10595
27;2026-04-10T16:14:47;8387
28;2026-04-10T16:25:05;11117
29;2026-04-10T07:02:41;848
30;2026-04-09T18:56:03;7467
