id;title;duration;file_url;cover_image;lyrics;release_date;created_at
1;above despite almost;16646;slow drum;which absent to;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T14:07:00
2;whoa;7250;whose damp;phooey sharply slimy;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T02:22:58
3;hovercraft approximate er;12030;aw pulse;experience diligently;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T02:37:32
4;requirement hmph furthermore;32351;lightly invite;yet;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T02:14:02
5;dish officially;25852;fooey nervously as;silky squid;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T05:22:24
6;underneath reproachfully;24590;between;closely now gigantic;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T11:41:36
7;odd inasmuch;9824;hm emulsify calmly;abnormally that bidet;../fake-data/blob/hipster.txt;2026-04-09;2026-04-09T22:56:31
8;bouncy;32421;wretched;shameful;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T04:14:10
9;yum;18315;morning;generously norm supposing;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T15:59:39
10;develop upright;17973;habit extremely nice;whale smooth puzzled;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T03:47:41
11;godfather lumpy;5428;extremely hmph brood;than;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T06:02:53
12;until bad;7264;fully bossy alongside;aha versus list;../fake-data/blob/hipster.txt;2026-04-10;2026-04-09T19:04:39
13;lawmaker elastic boohoo;9399;toward faint;chime ack till;../fake-data/blob/hipster.txt;2026-04-09;2026-04-10T03:31:55
14;save what fleck;18276;beneath;because;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T06:38:23
15;softly;27659;till mathematics excepting;unibody;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T01:27:15
16;that shyly;1888;likewise that hence;alarmed;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T00:52:06
17;modulo director;5800;blah last;once;../fake-data/blob/hipster.txt;2026-04-10;2026-04-09T22:34:37
18;now intensely whether;28512;wash hastily;kookily;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T16:31:46
19;triumphantly;14699;furthermore when searchingly;vice vein piglet;../fake-data/blob/hipster.txt;2026-04-10;2026-04-09T19:02:53
20;patiently platter whether;7993;boo;er helplessly eek;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T18:23:56
21;whereas;3632;courtroom our victoriously;between;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T10:10:02
22;pant;9242;once inasmuch;meaningfully numb;../fake-data/blob/hipster.txt;2026-04-09;2026-04-09T22:20:09
23;horst submitter;31326;stock;though except till;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T14:33:45
24;sauerkraut scamper;20428;very yippee ordinary;covenant energetically;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T02:11:57
25;puritan;10734;white;and sport cauliflower;../fake-data/blob/hipster.txt;2026-04-09;2026-04-09T23:57:25
26;mortar joyfully shudder;22333;piglet dutiful;pupil;../fake-data/blob/hipster.txt;2026-04-09;2026-04-10T04:41:17
27;surge bitter;23622;drat economise;sans;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T03:38:08
28;witty outdo;28752;merry;discourse husband consign;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T15:35:24
29;ah cow wherever;25780;and keenly sailor;impostor boo;../fake-data/blob/hipster.txt;2026-04-10;2026-04-09T19:28:32
30;orient blah;32611;capitalize if;valentine swift;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10T09:38:25
